security_no,segment,suggested_action,churn_probability
U5UUGQR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
IHLD3L5,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.08
ZM3ZL60,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
VATVGM3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
5K1IHY0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
I5ZH9Q1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
SCF54Z1,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
2ME0ZN6,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
Y98RTU9,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
YJAD4PV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
ELKIOD7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
U2FRGA4,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.04
7UMOVBV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
CXLBDPM,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
JTOZ3IB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
X7IQE1L,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.82
VUZT6KX,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
ZIEDIQT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
A7CYP06,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.85
PQ0V825,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
GDR2MP3,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
Z5RFLGT,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.16
ZK36QM0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
KI49UXD,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
WFVZ86U,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.98
ZTDJ51R,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
FV49N74,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
ZWM6Y4X,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
SX3OCZU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
2IW4Z31,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
04RMTHJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
09F0I9Z,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
S8IFIN0,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
HLVAWZW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
DMIGAQB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
5JLS50W,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
SWRUKIT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
V4FCCDF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
KXO9O9R,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
I26J0EC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
NJD0CET,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
J13ZAZF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
5JIBQLM,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
Q0ERMH9,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
QLIKCIY,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
CFYRO88,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
KCVTO45,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
X8FNPX3,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
Z9GLZZY,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
7QZQQBD,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
6TNEWOO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
ZMWIOAG,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
3DHBTKT,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
OTHKQQV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
KJTM1XJ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.4
X3O4QU7,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.87
56Y70VZ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
Z2Q4SS0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
UYLKVHK,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
2RMCT42,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.85
CTAXAYD,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
AX67LXF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
HHSRGG3,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
PALLHR4,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
QA42QDK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
XHFIOEL,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
T9NIIO1,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.81
ILPFP9W,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
GGF3EPT,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
QZ7ZB3J,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
NLBC9QB,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.19
LU0MKWE,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
9SBBNB5,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
RYDDF79,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
IDC4JUR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
RGIPHDU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.1
HK6FAYA,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
JK8GHL1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
1AHYNSQ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
4DYKPYM,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
FYN803C,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
VX3V16O,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
58GM64F,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
R414LGA,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
Z60F3AJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
KYGVOTT,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.95
PIVSCPF,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.8
TZTJNSJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
6SBY0AQ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.97
NINRH42,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
VN1M8J2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
D9UKKB9,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.41
1MDKTAJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
O2EA6HS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
X8B2DBX,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
OA2YWNY,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.91
XZA9LZ1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
J0SLOU9,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
DRUGLV3,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
NVSPYC2,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.06
BDETK10,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
G81L2MP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
ZCFQVP3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
IJ5PEZW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
N30LXZ7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.13
UH8W2WP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
FQHCLVF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.89
MRUAZ4B,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
AI9EHP0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.7
SETICTW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
0IWOTZL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
B98GTBS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
JLT080P,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.85
BMFOZ67,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
AG3E80N,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.84
09B6F57,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
RNPRMB5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
T0ZEUTU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.13
BMNTPVE,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
CFR5TKL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
2W6RTAQ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.98
LLCQ17F,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
GIW4K18,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.51
3CL8X9O,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
8W67W1Q,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
LL6NPFL,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
J8302CK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
HAYGFR5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.09
HDKTRHN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
UVC6SVA,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
7YSGYCF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
JUOSLA0,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.91
43AWFIC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.15
WIRM5R2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
NJUSK29,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.34
MHPQHGS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
2TQE92G,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
4LY3RAJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
TD54VZH,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.75
RN93LXX,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.88
7YGH01I,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
I4B0K8M,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.91
PMCFUQM,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
BO1A3O4,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
HKQHTCG,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
GFN04BD,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
87M7932,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.2
NDHUQ39,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
PNBR0II,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
HHT4PK7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
295S3JK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.49
GKMRRRW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
ZYIBQY4,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.89
X2VB83B,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,1.0
RCZPXB1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.13
N15WUOW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
YFXL7H9,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
FH9AVC7,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
M3OQTFC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
G3P3U21,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
CY6F37B,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
ZYZO98H,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.26
DL9DOSO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
7DSUD4Y,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
QWP1XT5,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
2II9EBH,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
89MSLTQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
0DRXFAO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
YPOLCSS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
8696864,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
D4SGADN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
H1K02AC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.3
YWS9DLI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
OQNL9G8,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
EU6LAAV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
E2X6V84,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
TVOMN05,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
AW07LNV,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
6KH27W9,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
AIS3IRM,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
YPWECZZ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
WHWJYHN,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.14
W3Z0B81,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
5NMK11A,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
0APFABD,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
3BDT43M,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
K6ZVSM5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
O5TIE3F,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
VRQIK1G,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
S0WTBBC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
42XSTD5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.2
AL02GJI,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
2V3RC6P,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
CBGO6VJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
OV7115E,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
12AH39O,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.89
JUSS1ZR,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.06
L8YKDQY,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
EHBJFR9,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
AFP880K,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.85
1JYGNW8,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.86
YSNJB5T,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
58ZQ9X6,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
T1S7AOK,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.94
YBQQ7VW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
DFYBA3V,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
FQTBL7T,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
A9L2MS4,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
0NMSPA3,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
VQDXFFX,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
2WP9OPV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
5ZCV1KG,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.97
LXIH7PP,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
3ZXQ9ST,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
PX7ZZGB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
IHLTAEK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
1YM5XXU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
ELL3GQ0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
CPUEFXT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
F2WJFKJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
WJWA2KL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.91
8JAX3O2,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.07
OQIXD4M,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
D4561TG,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
V56HJHH,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
96FYJUI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
3RY08F2,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.12
U74RS1J,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
INO42RQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
ED2LMWX,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
DI3I1IT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
9FKNJD4,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
5ZQQT9N,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
DGO24BK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
C29HKZC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
LZORWND,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
SQYCXR5,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.59
0Z3XUTC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
OVIOMJS,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.64
LNFTQ4Z,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
0A77B35,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
HLZQ58E,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.1
QLRPJ79,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.19
RZCC21Z,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
MDLJRYC,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.05
P6NRLJK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
UK3DFRY,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
VLUKBZG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.88
N5PI52V,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.14
A9RNY5C,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
181S409,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
W6I2G9R,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
YXCYP1C,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
EE24I5Q,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
KSVZ6ME,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
BLG1J30,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
Y86M51T,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
NEL247S,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
9LHJDWC,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
HIQ4QRN,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
E74GMBN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
3LD10ZB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
AAP2SPL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
1T0LO5M,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
NS7LLYK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
JFK4M73,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
AN1FZPZ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
LQ78K0K,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
0BS7T2G,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.85
9BLMOU1,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
AANYC9L,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
RH8UFK7,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.77
4HB4603,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.9
0UU34U4,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
3LFRCNR,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
5IKDXMC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
ICCAXLR,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
AOK1W5D,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
3IJCY6G,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
LF3HC0Z,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
5H15E14,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
CQS8YCK,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.23
VPLRUPN,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
7TSLGA8,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
M3L8TP6,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.41
3VMM78I,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
ZEJT448,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
88WZE89,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
MLWCAX7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
X21XZ99,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
FOUXH5G,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.9
MNQR5IY,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
2SWLS5P,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
S1HL3M1,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
DIXN9U3,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.74
OAEIZ6P,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
33VF428,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
7Z67O0D,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
I3S4OJU,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
4Z6JAJI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
78M31GV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
VUTXUCK,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
ZBNJWSR,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
GMX48R9,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
0WSHPQI,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
L1IEOZA,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.72
ZGSIF85,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
4INYENX,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.21
6O8CWWA,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.84
CXKYVFG,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.6
VEK50ES,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
4KTLPN7,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
C5HZSRP,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.08
1T14MDZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
VVBS6G4,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.4
M4B2E6O,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
044CSCV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
27HL1BO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
EP34S8D,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
6QIOR9L,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
LB67VS0,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.94
J8BRZDZ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
4J3IBLS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
BV5K37D,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
ZA7048L,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
MZWAV12,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.81
IBV7B8S,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
OBJQN9Z,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
G653NSF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
ZMTZN2Y,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
36DLFXO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
EIFCGYP,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
DO26046,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.06
WFXT2F6,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
6P6378P,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
T387P0N,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
DQUEDEL,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
FW0UE1U,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
J1F2OP3,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
P8ZB2LK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
4JV43IY,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.08
